year,governorate_1,governorate_2,planned,joint_statement,unspecified_JO,gov_collaboration,affiliates,parent_group,operations_room,big_bomb,target_class,target_class2,target_class3,target_class4,claim_source,notes,ose_claim_id,ose_date,frenemie_id,claim_full_text,Compound_Claim,Subject_Full_Name,subject,Object_Full_Name,object ,Posting_Full_Name,posting,type1,type2,type3,Pos_Existing_Ties,Neg_Existing_Ties,Duplicate,Frenemy_Notes,Interesting_Flag,Coder_ID,Skip
NA,Idlib,,,no,,no,,,NA,no,.,.,.,.,.,ANF is accused of theft but they were fold falsely that what they stole belonged to Hazm implying that they thought they were stealing it back for them,TRR2015050477314128,2015-05-04,60.1,"/screenshot from video of pro-regime palestinian fighters battling isil
 
 in al yarmuk camp. top-left: vanguard for the popular liberation war --
 
 al-sa'iqah forces logo./
 
 
 
 additionally, twitter user ""muzamjir al-sham"" tweeted
 
 an embedded image of a statement attributed to the 101 infantry division
 
 of free syrian army accusing al-nusrah front of attacking its
 
 ""headquarters"" and stealing its ""property"" in the village of harabnush.
 
 the statement indicates that defecting members of the division told
 
 al-nusrah front, falsely, that the division was an ""agent of the regime""
 
 and possessed weapons which previously belonged to hazm movement
 
 prompting al-nusrah front to ""send a [military] convoy"" which ""raided""
 
 the village and clashed with the division's fighters. it also accuses
 
 al-nusrah front of ""raiding the home"" of ibrahim dabbas. the statement
 
 then calls for al-nusrah front to return the division's property and
 
 asks that jaysh al-fath and ahrar al-sham islamic movement intervene
 
 between the two parties.",,101st infantry,101st,Syrian Government,SGF,101st infantry Fighters,101st Fighters,Collaboration,,,,,,"This statement shows the roles of several groups. the 101st shares that FSA accuses ANF of attacking and stealing from them. It becomes clear later in the claim that they share this because the 101 also blames ANF for stealing from them. 
It also includes details that members of the 101 defected and went to ANF to say that the 101 are ""agents of the regime"" (the statement says this is false)
This is the first example of sewn susspicion between groups and is interesting because the actors and motivations are so clear. 
the 101 also calls on JAF and ASIM to intervene between the two parties. ",yes,ANS,.
NA,Idlib,,,no,,no,,,NA,no,.,.,.,.,.,ANF is accused of theft but they were fold falsely that what they stole belonged to Hazm implying that they thought they were stealing it back for them,TRR2015050477314128,2015-05-04,60.2,"/screenshot from video of pro-regime palestinian fighters battling isil
 
 in al yarmuk camp. top-left: vanguard for the popular liberation war --
 
 al-sa'iqah forces logo./
 
 
 
 additionally, twitter user ""muzamjir al-sham"" tweeted
 
 an embedded image of a statement attributed to the 101 infantry division
 
 of free syrian army accusing al-nusrah front of attacking its
 
 ""headquarters"" and stealing its ""property"" in the village of harabnush.
 
 the statement indicates that defecting members of the division told
 
 al-nusrah front, falsely, that the division was an ""agent of the regime""
 
 and possessed weapons which previously belonged to hazm movement
 
 prompting al-nusrah front to ""send a [military] convoy"" which ""raided""
 
 the village and clashed with the division's fighters. it also accuses
 
 al-nusrah front of ""raiding the home"" of ibrahim dabbas. the statement
 
 then calls for al-nusrah front to return the division's property and
 
 asks that jaysh al-fath and ahrar al-sham islamic movement intervene
 
 between the two parties.",,101st infantry Fighters,101st Fighters,101st infantry,101st,101st infantry,101st,Defect_Neg,,,,,,"This statement shows the roles of several groups. the 101st shares that FSA accuses ANF of attacking and stealing from them. It becomes clear later in the claim that they share this because the 101 also blames ANF for stealing from them. 
It also includes details that members of the 101 defected and went to ANF to say that the 101 are ""agents of the regime"" (the statement says this is false)
This is the first example of sewn susspicion between groups and is interesting because the actors and motivations are so clear. 
the 101 also calls on JAF and ASIM for mediantion help and intervention. ",yes,ANS,.
2015,Damascus,NA,no,no,no,no,no,no,no,no,CIV,.,.,.,other_militants,"promoted by ANF and JAF, ISIL allegedly paid children to attack ANF",TRL2015051276665173,2015-05-12,63,"/screenshot from video of two children captured by al-nusrah front
 
 
 who claim that isil paid them to attack al-nusrah front.
 
 
 top-left: al-nusrah front's ""al qalamun correspondent"" logo.
 
 
 top-right: jaysh al-fath in al qalamun logo./",,Al-Nusrah Front,ANF,Islamic State,ISIL,,,Critique,,,,,,ANF critiques ISIL,,ANS,.
NA,Damascus,,,no,,no,,,NA,no,.,.,.,.,direct_quote,JAF announces decision to eradicate ISIL,TRL2015051276665173,2015-05-12,64,"/image of statement by jaysh al-fath in al qalamun announcing its
 
 decision to ""eradicate"" isil/
 
 
 
 on 12 may, twitter user ""jaysh al-fath -- al qalamun"" 
 
 tweeted a link to a statement announcing the group's decision to
 
 ""eradicate"" isil from the area. the statement lists numerous reasons why
 
 the group has chosen to fight isil, including a number of attacks by
 
 isil against ""the mujahideen"" in al qalamun. isil is also accused of
 
 taking their weapons and facilities; killing a number of prominent
 
 commanders, including ""abu-usamah al-banyasi [former isil amir of al
 
 qalamun reported killed after refusing to fight al-nusrah front],"" due
 
 to his ""commitment to the truth;"" ""terrorizing muslims"" in aarsal; not
 
 complying with outside sharia bodies; and holding other muslims to be
 
 infidels. it then notes that ""in the past two months,"" isil began to
 
 ""cut off the mujahideen's supply lines"" and set up checkpoints, forcing
 
 ""the mujahideen"" to find alternate routes in the region. the statement
 
 concludes by asserting that jaysh al-fath was ""forced to fight"" isil to
 
 ""stop this charade."" osc plans to process this item separately as
 
 trr2015051214966556.",,Jaysh al-Fath,JAF,Islamic State,ISIL,Jaysh al-Fath,JAF,Critique,,,,,,JAF announces it's intentions to fight ISIL. Is fighting ISIL what causes the resistance to breakdown?,,ANS,.
NA,.,,,no,,no,,,NA,no,.,.,.,.,other,"JAF vows to fight ISIL, fighting spilling over into Lebanon",TRR2015051380581062,2015-05-13,66,"on 11 may, jaysh al-fath in al qalamun announced its ""decision"" to fight
 
 isil, leading to a flareup of infighting in the region between isil and
 
 al-nusrah front, which reaffirmed its commitment today by vowing to
 
 ""continue"" its fight against isil. in addition to ongoing fighting in
 
 syria, numerous reports indicate that the fighting between the two
 
 groups has spilled over into lebanon, in the outskirts of aarsal.",,Jaysh al-Fath,JAF,ISIL,ISIL,,,Critique,,,,,,"the announcement by JAF incites fighting between ANF and ISIL
Coding announcement of decision to fight as critique. ",,ANS,.
NA,.,,,no,,no,,,NA,no,.,.,.,.,other,"JAF now affirms that their priorities are not ISIL but HIZ and SGF, a direct conflict with claims made earlier the same day. Group: Wa Itasimu Bi Hablin Allah Grouping not included in the name disambiguation",TRR2015051380581062,2015-05-13,67,"on 13 may, twitter user ""wa itasimu bi hablin allah"" , the
 
 official account of the wa itasimu bi hablin allah grouping, tweeted a
 
 link to a statement by the group, which is a part of jaysh al-fath in al
 
 qalamun, claiming that jaysh al-fath ""was not formed to fight the
 
 islamic state and this was not agreed upon in its charter."" the group
 
 announces that it is ""distancing itself from this discord,"" declaring
 
 that ""our fight"" is against hizballah and the syrian regime, not isil.
 
 the statement notes that the grouping is comprised of the following
 
 factions: al-ghuraba brigade, damascus eagles brigade, al-sayf al-umari
 
 battalions, and the men of al qalamun brigades.",,wa itasimu bi hablin allah grouping,WIBH,Jaysh al-Fath,JAF,wa itasimu bi hablin allah grouping,WIBH,Critique,,,,,,"groups condemn JAF for fighting ISIL because it is not in their charter. Sounds identitical to state diplomacy/security. 
It should be noted that these are all smaller groups, JAF is, I'm assuming, much larger",,ANS,.
NA,.,,,no,,no,,,NA,no,.,.,.,.,other,"JAF now affirms that their priorities are not ISIL but HIZ and SGF, a direct conflict with claims made earlier the same day. Group: Wa Itasimu Bi Hablin Allah Grouping not included in the name disambiguation",TRR2015051380581062,2015-05-13,67.1,"on 13 may, twitter user ""wa itasimu bi hablin allah"" , the
 
 official account of the wa itasimu bi hablin allah grouping, tweeted a
 
 link to a statement by the group, which is a part of jaysh al-fath in al
 
 qalamun, claiming that jaysh al-fath ""was not formed to fight the
 
 islamic state and this was not agreed upon in its charter."" the group
 
 announces that it is ""distancing itself from this discord,"" declaring
 
 that ""our fight"" is against hizballah and the syrian regime, not isil.
 
 the statement notes that the grouping is comprised of the following
 
 factions: al-ghuraba brigade, damascus eagles brigade, al-sayf al-umari
 
 battalions, and the men of al qalamun brigades.",,"Saraya al-ghurabaa;
Damascus Eagles Brigade;
al-sayf al-umari battalions;
Maghawir al-Qalamun Brigade",SalGH; Eagles; Umari; MWRAQB,Jaysh al-Fath,JAF,wa itasimu bi hablin allah grouping,WIBH,Critique,,,,,,"groups condemn JAF for fighting ISIL because it is not in their charter. Sounds identitical to state diplomacy/security. 
It should be noted that these are all smaller groups, JAF is, I'm assuming, much larger
There were multiple ""al-qalamun brigades"" ",,ANS,.
NA,Damascus,Rif Dimashq,,no,,no,,,NA,no,.,.,.,.,.,.,TRN2015051333821588,2015-05-13,68,"/the official twitter account of the ""islamic front"" posted a number of messages and youtube videos,
 
 claiming responsibility for the following attacks , as part of jaysh al-fatah operations room):/
 
 
 
  * posting a video statement by jaysh al-muslimin, operating in
 
  damascus and rif dimashq, announcing joining asim -- .",,jaysh al-muslimin,JaMus,Ahrar al-Sham Islamic Movement,ASIM,Islamic Front,IF,Merger,,,,,,groups join ASIM,,ANS,.
NA,Damascus,,,no,,no,,,NA,no,.,.,.,.,other_militants,Duha al-Islam ammounces joining ASIM and all other comonents affiliated with ASIM,TRN2015051333821588,2015-05-13,69,"/the official twitter account of the ""islamic front"" posted a number of messages and youtube videos,
 
 claiming responsibility for the following attacks , as part of jaysh al-fatah operations room):/
 
 
 
  * posting a video statement by duha al-islam brigade, operating in
 
  southern damascus, announcing joining asim and affiliating itself,
 
  ""with all its components,"" under its command -- .",,Duha al-islam,DuAI,Ahrar al-Sham Islamic Movement,ASIM,Islamic Front,IF,Merger,,,,,,groups join ASIM,,ANS,.
NA,Damascus,,,no,,no,,,NA,no,.,.,.,.,.,Sa'd Bin-Amir Brigade announce joining ASIM,TRN2015051333821588,2015-05-13,70,"/the official twitter account of the ""islamic front"" posted a number of messages and youtube videos,
 
 claiming responsibility for the following attacks , as part of jaysh al-fatah operations room):/
 
 
 
  posting a video statement by sa'id bin-amir brigade, operating in
 
  qabun neighborhood in damascus, announcing joining asim --
 
  .",,sa'id bin-amir,SBAB,Ahrar al-Sham Islamic Movement,ASIM,Islamic Front,IF,Merger,,,,,,Earliest mention of JAFOR: IF is part of JAFOR,,ANS,.
2015,NA,NA,no,yes,no,no,yes,ACOR,yes,no,.,.,.,.,direct_quote,adding more to affiliates,LIN2015051574166894,2015-05-15,71,"the ""official"" twitter account of the fatah halab operations room on 14 may 2015 posted ""statement no. 3"" announcing that ""other factions had joined the fatah halab operations room,"" and that ""the number of factions affiliated with it has increased to 31."" following are the names of the factions affiliated with the fatah halab operations room: 1. al-jabhah al-shamiyah 2. ahrar al-sham 3. jaysh al-islam 4. faylaq al-sham 5. thuwwar al-sham battalions 6. fastaqim kama umirt gathering 7. fajr al-khilafah battalions 8. nur-al-din al-zinki movement 9. al-mujahideen army 10. jaysh al-sunnah 11. abu-amarah battalions 12. the 101st division 13. the 16th division 14. the 13th division 15. al-fatah brigade 16. al-sultan murad brigade 17. fursan al-haqq brigade 18. suqur al-ghab brigade 19. al-haqq brigade 20. al-furqan brigades 21. bayariq al-islam movement 22. al-hurriyah brigade 23. bayan movement 24. al-atarib martyrs brigade 25. al-sultan muhammad al-fatih brigade 26. al-asalah wa al-tanmiyah front 27. al-izzah gathering 28. ansar al-khilafah brigade 29. suqur al-jabal brigade 30. sayfallah brigade 31. al-nukhbah forces",,"al-jabhah al-shamiyah;
ahrar al-sham;
jaysh al-islam; 
faylaq al-sham; 
thuwwar al-sham battalions; 
fastaqim kama umirt gathering; 
fajr al-khilafah battalions;
nur-al-din al-zinki movement; 
al-mujahideen army; 
jaysh al-sunnah; 
abu-amarah battalions; 
101st division; 
16th division; 
13th division; 
al-fatah brigade; 
al-sultan murad brigade; 
fursan al-haqq brigade; 
suqur al-ghab brigade; 
al-haqq brigade; 
al-furqan brigades; 
bayariq al-islam movement; 
al-hurriyah brigade; 
bayan movement; 
al-atarib martyrs brigade; 
al-sultan muhammad al-fatih brigade; 
al-asalah wa al-tanmiyah front; 
al-izzah gathering; 
ansar al-khilafah brigade; 
suqur al-jabal brigade; 
sayfallah brigade; 
 al-nukhbah forces;","LF; 
ASIM; 
JAI; 
FayAS;
ThASB; 
FKUG;
NADAZM;
AMB; 
JS; 
Amarah;
101; 
16;
13th;
AfatB;
Sulta;
FAHB; 
SAGG; 
AH; 
AFB; 
BayAIM;
SAHurB; 
BayM; 
AtaMartyr; 
ASIMF; 
AsalahWa; 
ASIBB; 
AAK; 
SalJB; 
Sayfallah; 
ANA


  


",Fatah Halab Operations Room,FHOR,,,JOR,,,,,,Roll call of all the factions in the Fatah Halab Operations Room,yes,ANS,.
2015,NA,NA,no,no,no,no,no,no,no,no,.,.,.,.,direct_quote,SKIP: creation of new group by YPG,LIR2015051871545573,2015-05-18,74,"-- on 5 may, in a statement, the ypg leadership in afrin welcomed the
 
 
 creation of the revolutionaries army . ""we support
 
 
 this project because it ensures unity of syrian opposition forces. the
 
 
 ypg leadership in afrin canton is prepared to coordinate with the
 
 
 leadership of the revolutionaries army and to support it as long as this
 
 
 support serves the interests of the syrian people."" according to the
 
 
 hawar news agency, the revolutionaries army is composed of: ""the homs
 
 
 revolutionaries grouping, the shams al-shamal brigades, the special
 
 
 missions brigade, the kurdish front [brigade], the 777th regiment, the
 
 
 99th infantry brigade, and the sultan salim brigade."" these military
 
 
 formations are fighting in idlib, hamah, aleppo, latakia, homs, and ar
 
 
 raqqah.",,"People’s
Protection Units",YPG,Revolutionaries Army,RevA,"People’s
Protection Units",YPG,Gen_Pos,,,,,,YPG voices support for RevA,,ANS,.
2015,NA,NA,no,yes,no,no,yes,no,no,no,.,.,.,.,other_militants,possible repeat claim,TRN2015052237508542,2015-05-22,81,"posting a video, announcing that four brigades have joined fajr al-sham islamic movement, affiliated with ansar al-din front: al-bara ibn-malik, al-qadisiyah, fatah al-islam, and saraya al-sadiqin -- -- (26 may",,"al-bara ibn-malik;
al-qadisiyah;
fatah al-islam;
saraya al-sadiqin","ATB35th; 
QIB; FatAI; 
SalSB",Fajr al-sham islamic movement,FSIM,,,Merger,,,,,,groups join FSIM,,ANS,.
NA,Idlib,,,no,,no,,,NA,no,.,.,.,,direct_quote,.,TRN2015052237508542,2015-05-22,83,"the official twitter account of ""jaysh al-islam"" posted a number of messages and youtube videos, claiming responsibility for the following attacks: posting a video, announcing that dhi-qar brigade operating in idlib countryside has joined, ""with all its weapons and ammunition,"" jaysh al-islam -- -- .",,dhi-qar brigade,DQB,Jaysh al-Islam,JAI,Jaysh al-Islam,JAI,Merger,,,,,,dhi-qar brigade joins JAI,,ANS,.
2016,Damascus,NA,no,no,no,no,no,no,no,no,ARC,.,.,.,other_militants,JAI eulogizes ARC death,TRR2015052670261160,2015-05-26,87,"on 24 may, the official website of jaysh al-islam posted a statement
 
 
 eulogizing ""riyad al-kharaqi abu-thabit al-dimashqi,"" an al-rahman corps
 
 
 shura council member, reportedly killed after being wounded in a suicide
 
 
 attack carried out by isil . osc
 
 
 plans to process this item separately as trn2015052457549732.
 
 
 additionally, twitter user ""al-jabhah al-islamiyah"" , 
 
 
 the official account of the islamic front, tweeted an embedded image of
 
 
 a statement attributed to the ahrar al-sham islamic movement also
 
 
 eulogizing al-kharaqi. osc plans to process this item separately as
 
 
 trn2015052470116408.",,Jaysh al-Islam; Islamic Front; Ahrar al-Sham,JAI; IF; ASIM,Al-Rahman Corps,ARC,Jaysh al-Islam; Islamic Front; Ahrar al-Sham,JAI; IF; ASIM,Gen_Pos,,,,,,JAI eulogizes ARC council member killed by ISIL. IF and ASIM also partake in the eulogy. ,yes,ANS,.
2015,Damascus,NA,no,yes,no,no,no,no,yes,no,ISIL,.,.,.,direct_quote,NA,TRL2015052876849031,2015-05-28,88,"on 27 may, the facebook page ""the joint operations room in eastern al
 
 
 qalamun"" posted an update claiming that this is the ""official facebook
 
 
 page"" for ""the joint operations room in eastern al qalamun [joreq],""
 
 
 which comprises jaysh al-islam, ahrar al-sham, al-nusrah front, the
 
 
 martyr ahmed al-abdu grouping, al-rahman corps, mughayir al qalamun
 
 
 brigade, lions of the east army, and al-sayf al-amri. additionally on 28
 
 
 may, the joreq facebook page posted two updates: one claiming that it
 
 
 ""will not allow"" isil to enter al qalamun, and ""the joint operations
 
 
 room: bombing da'ish positions with tanks."" the updates are accompanied
 
 
 by the following images: joreq logo; joreq members praying; and the
 
 
 image of a tank, shown at left.",,"jaysh al-islam;
ahrar al-sham;
al-nusrah front;
martyr ahmed al-abdu grouping;
al-rahman corps;
mughayir al qalamun brigade;
lions of the east army;
al-sayf al-amri",JAI; ASIM; ANF; MAAAAB; ARC; MWRAQB; Umari  ,Joint Operations Room in Eastern Al-Qalamun,JOREQ,Joint Operations Room in Eastern Al-Qalamun,JOREQ,JOR,,,,,,first mention of the JOREQ. it is against ISIL. Was this coded as fighting ISIL? It was not on the other side. Confused. ,,ANS,.
2015,NA,NA,no,no,no,no,no,no,no,no,.,.,.,.,direct_quote,"threat, ultimatum",TRL2015052876849043,2015-05-28,89,"on 28 may, twitter user ""al-ittihad al-islami"" , the official twitter account of the ajnad al-sham islamic union, tweeted an embedded image of a statement by the fath al-sham coalition addressed to the al-yarmuk martyrs brigade. the statement notifies the al-yarmuk martyrs brigade of the following: ""we have set forth to fight you under the sharia of god following the ruling by the judiciary house, and therefore, we call on you for the last time to litigate before a sharia court, which we guarantee will be a fair trial. we sternly warn you to ensure the safety of abu-mus'ab, the commander of the ahmad al-umar brigade, and not to harm him, as we will hold you fully responsible in case he is harmed in any way. the opportunity is still open to resort to sharia litigation under the auspices of the judiciary house. may god spare the muslim blood and bring you back to the right path.""",,Fath Al-Sham Front,FSF,Al-Yarmuk Brigade,AYAR,Ajnad Al-Sham Islamic Movement,ASIM,Negotiations,,,,,,FSF (is allied with ahmad al-umar brigade (not in disambiguation)) threatens AYAR,,ANS,.
